c |  Solving Time         :      0.207ms
c |  Solving Time         :      0.214ms
c |  Solving Time         :      0.267ms
c |  Solving Time         :      0.286ms
c |  Solving Time         :      0.355ms
c |  Solving Time         :      0.365ms
c |  Solving Time         :      0.398ms
c |  Solving Time         :      0.410ms
c |  Solving Time         :      0.411ms
c |  Solving Time         :      0.423ms
c |  Solving Time         :      0.426ms
c |  Solving Time         :      0.434ms
c |  Solving Time         :      0.441ms
c |  Solving Time         :      0.498ms
c |  Solving Time         :      0.512ms
c |  Solving Time         :      0.512ms
c |  Solving Time         :      0.532ms
c |  Solving Time         :      0.541ms
c |  Solving Time         :      0.554ms
c |  Solving Time         :      0.565ms
c |  Solving Time         :      0.565ms
c |  Solving Time         :      0.574ms
c |  Solving Time         :      0.577ms
c |  Solving Time         :      0.621ms
c |  Solving Time         :      0.622ms
c |  Solving Time         :      0.624ms
c |  Solving Time         :      0.636ms
c |  Solving Time         :      0.646ms
c |  Solving Time         :      0.649ms
c |  Solving Time         :      0.649ms
c |  Solving Time         :      0.650ms
c |  Solving Time         :      0.661ms
c |  Solving Time         :      0.673ms
c |  Solving Time         :      0.682ms
c |  Solving Time         :      0.686ms
c |  Solving Time         :      0.694ms
c |  Solving Time         :      0.698ms
c |  Solving Time         :      0.710ms
c |  Solving Time         :      0.711ms
c |  Solving Time         :      0.716ms
c |  Solving Time         :      0.720ms
c |  Solving Time         :      0.728ms
c |  Solving Time         :      0.742ms
c |  Solving Time         :      0.747ms
c |  Solving Time         :      0.773ms
c |  Solving Time         :      0.779ms
c |  Solving Time         :      0.782ms
c |  Solving Time         :      0.790ms
c |  Solving Time         :      0.794ms
c |  Solving Time         :      0.797ms
c |  Solving Time         :      0.814ms
c |  Solving Time         :      0.817ms
c |  Solving Time         :      0.819ms
c |  Solving Time         :      0.823ms
c |  Solving Time         :      0.824ms
c |  Solving Time         :      0.829ms
c |  Solving Time         :      0.832ms
c |  Solving Time         :      0.843ms
c |  Solving Time         :      0.858ms
c |  Solving Time         :      0.873ms
c |  Solving Time         :      0.877ms
c |  Solving Time         :      0.878ms
c |  Solving Time         :      0.888ms
c |  Solving Time         :      0.898ms
c |  Solving Time         :      0.904ms
